"Ticker","Nome","Negócios","Última (R$)","Variação"
"LJQQ3","Lojas Quero-Quero","2.927.700","4,25","+0,24%"
"SMFT3","Smart Fit","2.829.100","22,05","-1,69%"
"BPAN4","Banco Pan","2.803.100","9,90","+0,41%"
"SAPR4","Sanepar","2.773.500","5,85","+1,56%"
"CBAV3","CBA","2.750.600","4,98","-1,97%"
"TEND3","Construtora Tenda","2.551.000","13,40","+0,98%"
"GMAT3","Grupo Mateus","2.407.300","7,88","-0,51%"
"SEQL3","Sequoia Logística","2.370.800","6,39","+10,17%"
"CEAB3","C&A","2.355.800","10,17","+0,00%"
"MBLY3","Mobly","2.354.700","2,94","+3,52%"
"SLCE3","SLC Agrícola","2.352.000","17,66","-0,39%"
"TRPL4","Transmissão Paulista","2.276.700","24,71","+0,37%"
"JSLG3","JSL","2.149.500","9,91","+0,20%"
"EZTC3","EZTEC","2.105.100","14,09","-0,21%"
"SOJA3","Boa Safra Sementes","2.038.800","12,85","+0,78%"
"CASH3","Méliuz","2.022.300","6,90","+2,37%"
"ENJU3","Enjoei","1.986.200","1,69","+2,42%"
"RCSL3","Recrusul","1.886.400","4,70","+9,56%"
"PLPL3","Plano&Plano","1.886.300","12,03","-0,99%"
"BRSR6","Banrisul","1.804.900","12,56","+0,08%"
"KLBN4","Klabin","1.729.800","4,36","+1,40%"
"IRBR3","IRB Brasil RE","1.681.500","48,38","-0,60%"
"SMTO3","São Martinho","1.670.400","27,72","-0,61%"
"CSMG3","COPASA","1.661.700","23,72","+0,72%"
"AERI3","Aeris Energy","1.645.000","12,10","+20,16%"
"SBFG3","Grupo SBF","1.582.000","17,29","-1,14%"
"LIGT3","Light","1.533.900","6,40","-0,62%"
"DASA3","Dasa","1.530.300","2,99","-8,56%"
"PORT3","Wilson Sons","1.516.000","17,20","+0,70%"
"NEOE3","Neoenergia","1.507.400","19,90","+1,53%"
"KEPL3","Kepler Weber","1.473.300","11,17","+1,82%"
"ZAMP3","Zamp","1.447.300","3,05","-0,97%"
"MILS3","Mills","1.392.700","11,01","+0,46%"
"MYPK3","Iochpe-Maxion","1.376.500","11,57","+0,61%"
